ID,Category,Subcategory,Hazard,Trigger/Context,Potential Consequence,Likelihood,Risk Rating,Controls / Mitigation,Controls Hierarchy,Monitoring / Verification,Responsible Role,Reference,Residual Risk
EN3,Environmental,,Dust from works,,Reduced visibility,Possible,Medium,"Water carts, sweeping","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EN4,Environmental,,Heat stress on workers,,Illness,Likely,Medium,"Hydration, shaded rest areas","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EN5,Environmental,,Storm event topples devices,,Worksite unsafe,Possible,High,"Weather monitoring, secure devices","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
SD1,Signage & Devices,,Missing sign in sequence,,Crash / confusion,Possible,High,"Daily inspections, sign checklists","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
SD2,Signage & Devices,,Incorrect spacing of signs,,Crash,Possible,High,Placement per Austroads / SA field guide,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
SD3,Signage & Devices,,Contradictory permanent vs. temporary signs,,Driver confusion,Likely,Medium,Cover or remove permanent signs,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
SD4,Signage & Devices,,Damaged or obscured signs,,Reduced compliance,Possible,Medium,Regular inspections,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
SD5,Signage & Devices,,VMS board wrong message,,Crash,Rare,High,Supervisor approval before activation,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PB1,Public Behaviour,,Driver ignores reduced speed,,Crash,Likely,High,"Police enforcement, VMS","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
PB2,Public Behaviour,,Aggressive driver abuses controller,,Violence risk,Possible,Medium,"Two-up staffing, CCTV, police support","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PB3,Public Behaviour,,Pedestrian ignores detour,,Injury,Possible,High,"Barriers, signage, marshals","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PB4,Public Behaviour,,Cyclist refuses detour,,Collision,Possible,Medium,"Signage, marshal intervention","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
PB5,Public Behaviour,,Theft/vandalism of signs/devices,,Site unsafe,Possible,Medium,"Lock devices, inspections","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EM1,Emergency & Incident,,Emergency vehicle delayed by worksite,,Injury/fatality,Rare,High,Emergency access maintained,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EM2,Emergency & Incident,,Vehicle breakdown in closure,,Secondary crash,Possible,Medium,"Tow truck standby, incident plan","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EM3,Emergency & Incident,,Fire/hazardous material in site,,Injury / closure,Rare,High,"Evacuation plan, extinguisher","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EM4,Emergency & Incident,,Worker injury on site,,Fatality,Possible,High,"First aiders, response plan","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
EM5,Emergency & Incident,,Multi-vehicle crash at worksite,,Fatality,Rare,Extreme,Incident management protocol,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Medium
IF1,Interface with Infrastructure,,Blocking local access,,Complaints / unsafe detours,Possible,Medium,"Local detour signage, consultation","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
IF2,Interface with Infrastructure,,Disruption to bus/tram routes,,Public risk,Likely,Medium,Coordination with transit authority,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
IF3,Interface with Infrastructure,,Interference with utilities,,Service disruption,Rare,Medium,"Dial-before-you-dig, coordination","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
IF4,Interface with Infrastructure,,Poor reinstatement (aftercare),,Long-term hazard,Likely,Medium,"Final inspection, compliance checks","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
CA1,Compliance & Admin,,TMP/TGS not approved,,Legal liability,Rare,High,Qualified signatory review,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
CA2,Compliance & Admin,,"Missing permits (council, police)",,Legal stop-work,Rare,High,"Permit register, checks","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
CA3,Compliance & Admin,,Non-compliance with standards,,Liability,Rare,High,AGTTM/AS1742 compliance audits,"['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
CA4,Compliance & Admin,,Inadequate documentation,,Failure in audit,Possible,Medium,"Record keeping, sign-off","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
CA5,Compliance & Admin,,No review of risk register,,Ongoing risks missed,Possible,Medium,"Review process, audits","['Engineering', 'Administrative', 'PPE']",Daily prestart check; supervisor sign-off; photos in site diary,Supervisor,AGTTM Vol 2/3; AS 1742.3,Low
TF8,Traffic Flow & Vehicle Interaction,Urban arterial,Queue end shockwave not signed,Sudden peak-hour congestion,Secondary crashes,Possible,High,Add QUEUE AHEAD/Prepare to Stop signs; VMS upstream; extend advance warning distances,"['Engineering', 'Administrative']",Spot checks + dashcam review,Traffic Engineer,AGTTM Vol 2 s.3; Vol 3 tables,Medium
TF9,Traffic Flow & Vehicle Interaction,Urban detour,Detour route exceeds capacity,High detour volumes during peak,Gridlock/road rage,Possible,High,Capacity check; stage works off-peak; police assistance; adaptive signals if available,"['Administrative', 'Engineering']",SCATS/ATSPM data review,TMP Designer,AGTTM Vol 2 planning,Medium
TF10,Traffic Flow & Vehicle Interaction,Intersection influence,Intersection blocked by taper,Taper within 50–100 m of intersection,Cross-traffic crash,Possible,High,Move taper beyond intersection influence; provide flagging; adjust phasing with road authority,"['Engineering', 'Administrative']",Layout audit; photos,Supervisor,AGTTM Vol 3 intersection layouts,Low
TF11,Traffic Flow & Vehicle Interaction,Mobile works,Mobile works without adequate shadow vehicle,Slow-moving convoy < 40 km/h,Rear-end into work vehicle,Possible,High,Provide TMA shadow vehicle; arrow board; specified follow distances,"['Engineering', 'Administrative']",GPS trail & spacing logs,Works Manager,AGTTM Vol 4 mobile works,Low
TF12,Traffic Flow & Vehicle Interaction,Freeway,Freeway shoulder closure poor taper length,110 km/h shoulder closure,High-speed collision,Rare,High,Increase taper length per speed; advance warning series incl. 1km/500m/200m signs,['Engineering'],Distance-measure verification,Traffic Engineer,AS 1742.3 tapers,Low
TF13,Traffic Flow & Vehicle Interaction,Contraflow,Wrong-way entry into contraflow,Median opening misread,Head-on collision,Rare,Extreme,Physical barriers; double signage; marshals at openings; night lighting,"['Engineering', 'Administrative']",Barrier and sign audit,Supervisor,AGTTM contraflow,Medium
TF14,Traffic Flow & Vehicle Interaction,Freeway crossover,Temporary median crossover geometry inadequate,Tight radii; wet weather,Loss of control,Rare,High,Geometry check; skid-resistant surface; advisory speed signs,['Engineering'],Design check record,Designer,AGTTM design guidance,Low
TF15,Traffic Flow & Vehicle Interaction,Narrow lanes,Truck roll-over at narrow lane,High heavy-vehicle %,Serious crash,Rare,High,Lane width ≥3.2m for heavy vehicles; speed reduction; truck advisory route,"['Engineering', 'Administrative']",Width spot checks,Engineer,AGTTM lane width tables,Low
TF16,Traffic Flow & Vehicle Interaction,Night works,Night work glare reduces driver detection,Portable lights facing traffic,Crashes near taper,Possible,High,Aim lights away from traffic; shield; increase conspicuity signs/markers,['Engineering'],Night drive-through audit,Supervisor,AGTTM lighting,Low
PC6,Pedestrian & Cyclist Safety,Accessibility,Temporary footpath lacks tactile indicators,Vision-impaired users,Trip/wayfinding failure,Possible,Medium,TGSI at decision points; maintain 1.2m min width; smooth surface ramps,['Engineering'],Accessibility checklist,TMP Designer,AS 1428 + AGTTM ped,Low
PC7,Pedestrian & Cyclist Safety,Shared paths,Shared path detour conflicts with driveway,Busy retail driveways,Cyclist/vehicle crash,Possible,High,Marshals at high-activity driveways; sight lines; slow tiles,"['Administrative', 'Engineering']",Observation logs,Supervisor,AGTTM ped detours,Low
PC8,Pedestrian & Cyclist Safety,School zone,School zone works during pick-up,Bell times overlap,Child struck,Possible,High,Blackout time windows; extra marshals; 25 km/h enforced,['Administrative'],Roster/permit conditions,Supervisor,DIT/AGTTM constraints,Low
PC9,Pedestrian & Cyclist Safety,Special event,Event crowd overflow onto roadway,Stadium egress,Mass-pedestrian exposure,Possible,High,Barrier pens; police liaison; crowd control plan,"['Administrative', 'Engineering']",Event debrief report,Event Controller,Event TMP guides,Medium
PC10,Pedestrian & Cyclist Safety,Cyclist route,Cyclists diverted to gravel shoulder,Unsealed shoulder,Falls,Possible,Medium,Temporary sealed path or matting; sweep schedule,"['Engineering', 'Administrative']",Daily sweep log,Supervisor,AGTTM cyclist,Low
WS6,Worker Safety,Night setup,Lone worker setup at night,Low staffing,Assault/vehicle strike,Possible,High,Two-up minimum; body cams; additional lighting,"['Administrative', 'PPE']",Roster & sign-on sheets,Supervisor,Company SWMS + AGTTM,Low
WS7,Worker Safety,Plant interface,Inadequate exclusion zone around plant slewing,Excavator/craning,Struck-by,Possible,High,Marked no-go zones; spotter; plant interface plan,"['Engineering', 'Administrative']",Spot checks; photos,Foreman,AGTTM plant interface,Low
WS8,Worker Safety,Setup/pack-down,Manual handling of heavy signs,Large signs/VMS boards,Musculoskeletal injury,Likely,Medium,Mechanical aids; two-person lift; ergonomic training,"['Administrative', 'PPE']",Training records,HSEQ,SafeWork guidance,Low
WS9,Worker Safety,Traffic control,Controller distracted using phone,Personal devices,Traffic misdirected,Possible,Medium,No-phone rule on duty; supervisor audits,['Administrative'],Random audits,Supervisor,Company policy,Low
WS10,Worker Safety,Weather,Heatwave during day works,Heat > 38°C,Heat illness,Likely,High,Shorter rotations; misting; hydration schedule,"['Administrative', 'PPE']",Heat logs; break sheets,Supervisor,SafeWork heat guides,Medium
PE6,Plant & Equipment,Devices,Arrow board malfunction mid-shift,Ageing board,Lane confusion,Possible,High,Spare board; rapid replacement SOP,['Administrative'],Prestart + mid-shift checks,Supervisor,OEM manual + AGTTM,Low
PE7,Plant & Equipment,TMA placement,TMA parked outside buffer,Tight work area,Reduced protection,Possible,High,Reposition per plan; GPS geo-fence alarm,"['Engineering', 'Administrative']",GPS audit,Engineer,AGTTM mobile works,Low
PE8,Plant & Equipment,PTS,Portable signal phase conflict,Manual override misuse,Crash risk,Rare,High,Certified setup; test cycle before opening,['Administrative'],Commissioning test sheet,Supervisor,AS 1742.14/PTS specs,Low
PE9,Plant & Equipment,Lighting,Lighting tower fuel spill,Refuelling on site,Slip/fire,Rare,Medium,Spill kits; bunding; refuel off carriageway,"['Administrative', 'PPE']",Spill register,Foreman,EPA guidance,Low
PE10,Plant & Equipment,Portable signals,Battery failure in eStop/Portaboom,End-of-life batteries,Loss of control,Rare,High,Battery health checks; spare units,['Administrative'],Battery log,Supervisor,OEM spec,Low
EN6,Environmental,Air quality,Bushfire smoke reduces visibility,Regional smoke event,Crash risk,Possible,High,Suspend works; advisory messages; respirators for workers,"['Administrative', 'PPE']",AQI monitoring log,Supervisor,Jurisdictional AQI alerts,Medium
EN7,Environmental,Wind,High wind dislodges barrier segments,>60 km/h gusts,Vehicle strike,Possible,High,Ballast barriers; interlock checks; wind thresholds,['Engineering'],Weather alerts + inspections,Supervisor,AGTTM barriers,Low
EN8,Environmental,Rural night,Wildlife on rural detour at night,Kangaroos/emus,Collision,Possible,Medium,Lower detour speed; wildlife warning; clear verge,"['Administrative', 'Engineering']",Incident reports,Supervisor,Local authority advice,Low
EN9,Environmental,Wet weather,Rain erodes temporary ramps,Unsealed ramps,Trips/falls,Possible,Medium,More robust ramp materials; frequent inspection,['Engineering'],Post-rain checklist,Supervisor,Accessibility + AGTTM,Low
EN10,Environmental,Sun angles,Glare at dawn/dusk on approaches,East/west approaches,Reduced detection,Possible,Medium,Extra conspicuity markers; adjust sign angles,['Engineering'],Drive-through at dawn/dusk,Engineer,AGTTM lighting,Low
SD6,Signage & Devices,Inventory,Stockout of required signs,Late notice works,Non-compliance,Possible,Medium,Pre-pick checklist; alternate compliant signs per guide,['Administrative'],Inventory sheet,Store/Logistics,AS 1743 alt signs,Low
SD7,Signage & Devices,Speed limits,Permanent VSL conflicts with temporary limit,Managed motorways,Non-compliance,Possible,High,Cover permanent sign; sync with ITS ops centre,"['Administrative', 'Engineering']",Ops centre email record,Engineer,AGTTM speed management,Low
SD8,Signage & Devices,Wind event,Sign faces wrong direction after wind,Rotated sign,Confusion,Possible,Medium,Hourly patrols in wind; sandbags,['Administrative'],Patrol logs,Supervisor,AGTTM maintenance,Low
SD9,Signage & Devices,Night paving,Temporary markings not reflective enough,Worn markings,Night crashes,Possible,High,High-performance tape; cat’s eyes; QC checks,['Engineering'],Night inspection photos,Engineer,AS 1742/markings,Low
SD10,Signage & Devices,VMS content,Too many messages on VMS (information load),Multi-frame message,Driver overload,Possible,Medium,"Short, single-action message; 3-frame max",['Administrative'],VMS approval sign-off,Engineer,VMS content policy,Low
PB6,Public Behaviour,Local access,Resident removes cones to access driveway,Tight streets,Workzone breach,Possible,Medium,Driveway marshals; scheduled access windows,['Administrative'],Issue register,Supervisor,Community plan,Low
PB7,Public Behaviour,Incident curiosity,Spectators stopping in live lane to film,High social media interest,Rear-end risk,Possible,High,Ranger/police support; barriers; comms,['Administrative'],Police incident numbers,Supervisor,Incident mgmt,Medium
PB8,Public Behaviour,Merge bottleneck,Road rage at merge,Peak hour,Assault/crash,Possible,Medium,Merge early messaging; police patrols,['Administrative'],Patrol logs,Supervisor,Behaviour studies,Low
PB9,Public Behaviour,Security,Theft of batteries/solar from devices,Isolated rural sites,Device failure,Possible,Medium,Lock boxes; GPS tracking; anti-tamper,['Administrative'],Security incident log,Supervisor,Asset mgmt,Low
PB10,Public Behaviour,Desire lines,Pedestrians cutting through barrier gaps,Shops/transport stops,Exposure,Likely,High,Continuous barrier; overlap ends; mesh infill,['Engineering'],Barrier audit,Supervisor,AGTTM ped barriers,Low
EM6,Emergency & Incident,Access,Ambulance route not considered in detour,Hospital nearby,Delayed response,Rare,High,Consult ambulance control; preferred routes,['Administrative'],Consult log,Designer,Emergency liaison,Low
EM7,Emergency & Incident,Breakdowns,No safe pull-off for breakdowns,Narrow lanes,Lane blockage,Possible,Medium,Provide refuge bay; tow-on-call,"['Engineering', 'Administrative']",Tow response times,Supervisor,Incident mgmt,Low
EM8,Emergency & Incident,Dangerous Goods,Fuel tanker through worksite,DG route intersects,Hazmat risk,Rare,High,Route restriction; escort; time-window bans,['Administrative'],Permit conditions,Designer,DG regs,Low
EM9,Emergency & Incident,Low visibility,Multiple crashes during fog,Sudden fog bank,Major incident,Rare,Extreme,Suspend works; hard closure; coordinate police,['Administrative'],Debrief report,Supervisor,Major incident SOP,Medium
EM10,Emergency & Incident,Medical,No AED or first aider on site,Remote worksite,Fatality risk,Rare,High,Ensure trained first aider; AED onsite,"['Administrative', 'PPE']",Training and kit check,Supervisor,Company HSEQ,Low
IF5,Interface with Infrastructure,Rail interface,Tram tracks adjacent to closure,On-street tram,Skid/derailment risk,Rare,High,Rail liaison; flange gap covers; speed reduction,"['Engineering', 'Administrative']",Rail approval docs,Designer,PT operator standards,Low
IF6,Interface with Infrastructure,Public transport,Bus stop within closure not relocated,High patronage corridor,Pedestrian conflicts,Likely,High,Temporary stop relocation plan; signage,['Administrative'],PT change notice,Supervisor,PT guidelines,Low
IF7,Interface with Infrastructure,Freight,Freight route timing conflicts,Port access roads,Queue & crashes,Possible,Medium,Schedule outside freight peaks; alt routes,['Administrative'],Freight liaison record,Designer,Freight plan,Low
IF8,Interface with Infrastructure,CBD works,Business loading zones blocked,Retail frontage,Illegal stopping,Possible,Medium,Loading windows; marshal; dedicated bays,['Administrative'],Business notices,Community Liaison,Local council conditions,Low
IF9,Interface with Infrastructure,Proximity,Emergency services station near site,Fire/ambulance station,Response delays,Rare,High,Keep station access free; signal priority,['Administrative'],Agency agreement,Designer,Emergency liaison,Low
IF10,Interface with Infrastructure,Rail crossing,Rail level crossing within detour,Short storage distance,Crash risk,Rare,High,No queuing on tracks; signals coordination,"['Administrative', 'Engineering']",Timing plan sign-off,Engineer,Rail interface guides,Low
CA6,Compliance & Admin,Documentation,Out-of-date TMP used on site,Superseded plan printed,Non-compliance,Possible,High,Version control; QR-coded current plan,['Administrative'],Document control audit,HSEQ,ISO 9001 doc control,Low
CA7,Compliance & Admin,Records,No evidence of sign spacing compliance,No site photos,Audit fail,Possible,Medium,Capture GPS/photo records per sign,['Administrative'],Photo log review,Supervisor,AGTTM records,Low
CA8,Compliance & Admin,Training,Induction not completed by all staff,Late crew arrivals,Legal risk,Possible,Medium,Mandatory induction before shift,['Administrative'],Induction register,Supervisor,Company HSEQ,Low
CA9,Compliance & Admin,SWMS,SWMS not specific to task/site,Generic document,Residual risks unmanaged,Possible,Medium,Task-specific SWMS; review meeting,['Administrative'],SWMS quality check,HSEQ,SafeWork requirements,Low
CA10,Compliance & Admin,Long duration works,No periodic risk review on long jobs,>2 weeks,Controls drift,Possible,Medium,Weekly review; respond to incidents,['Administrative'],Review minutes,Supervisor,AGTTM continuous improvement,Low
